IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"#1 CLINIC DR.,BOYS RANCH,TX,79010",1.0,,0.0,,0.0,,2.0,,0.0,,35.531195200000006,-102.2562362,,,1.0,0.0,,
"100 KINGS FORT PKWY,KAUFMAN,TX,75142-3536",0.5178571428571428,,0.7477073365231259,,0.16666666666666666,,1.0357142857142856,,1.4954146730462519,,32.57145415,-96.31060583,,,1.0,0.0,,
"100 N CENTRAL EXPY STE 1108,RICHARDSON,TX,75080-5328",1.0,,0.3333333333333333,,0.0,,2.0,,0.6666666666666666,,32.95108358,-96.73388517,,,1.0,0.0,,
"100 N N ST,MIDLAND,TX,79701-6409",0.16666666666666666,,0.0,,0.0,,0.3333333333333333,,0.0,,31.99393028,-102.096813,,,1.0,0.0,,
"100 SAN ELIZARIO RD UNIT M,CLINT,TX,79836-6738",2.0,,0.0,,0.0,,4.0,,0.0,,31.58721942,-106.2309237,,,1.0,0.0,,
"100 W PIONEER PKWY STE 106,ARLINGTON,TX,76010-6111",2.0,,0.0,,0.0,,4.0,,0.0,,32.70801951,-97.10897319,,,1.0,0.0,,
"1000 E CAMPBELL RD STE 116,RICHARDSON,TX,75081-1855",1.5,,0.0,,0.0,,3.0,,0.0,,32.97521153,-96.70709491,,,1.0,0.0,,
"1000 LEE DR,BAYTOWN,TX,77520-6980",1.0,,0.0,,0.0,,2.0,,0.0,,29.72679097,-94.97838837,,,1.0,0.0,,
"1000 N MIDKIFF RD # B-6,MIDLAND,TX,79701-2101",0.9625526978468156,,0.15725806451612906,,0.0,,1.925105395693632,,0.3145161290322581,,32.00029409,-102.118602,,,1.0,0.0,,
"1000 N MIDKIFF RD STE 23,MIDLAND,TX,79701-2101",0.14285714285714285,,0.0,,0.0,,0.2857142857142857,,0.0,,32.00029409,-102.118602,,,1.0,0.0,,
"1000 N MIDKIFF RD STE 6,MIDLAND,TX,79701-2133",0.06666666666666668,,0.0,,0.0,,0.13333333333333336,,0.0,,32.00029409,-102.118602,,,1.0,0.0,,
"1000 N MIDKIFF RD,MIDLAND,TX,79701-2101",0.02325581395348837,,0.0,,0.0,,0.04651162790697674,,0.0,,32.00029409,-102.118602,,,1.0,0.0,,
"1000 N STATE HIGHWAY 289,PROSPER,TX,75078-8779",0.0,,1.0,,0.0,,0.0,,2.0,,33.24579089,-96.78521024,,,1.0,0.0,,
"1000 S MIDKIFF RD # B6,MIDLAND,TX,79701-7132",0.1880341880341881,,0.0,,0.0,,0.3760683760683762,,0.0,,31.978692,-102.1115344,,,1.0,0.0,,
"10001 S INTERSTATE 35,AUSTIN,TX,78747-1701",0.0,,0.0,,0.16666666666666666,,0.0,,0.0,,30.15627679,-97.79022066,,,1.0,0.0,,
"10009 N LAMAR BLVD,AUSTIN,TX,78753-4117",2.0,,0.0,,0.0,,4.0,,0.0,,30.37002151,-97.69308563,,,1.0,0.0,,
"10009 N MACARTHUR BLVD STE 105,IRVING,TX,75063-5082",1.0,,0.0,,0.0,,2.0,,0.0,,32.94146652,-96.95223574,,,1.0,0.0,,
"1002 W SAM HOUSTON BLVD STE 6,PHARR,TX,78577-5198",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,26.1896853,-98.19794652,,,1.0,0.0,,
"1004 N TEXAS BLVD # B-1,WESLACO,TX,78596-4511",0.6014721350459891,,0.05263157894736842,,0.0,,1.202944270091978,,0.10526315789473684,,26.17160458,-97.99088034,,,1.0,0.0,,
"1004 N TEXAS BLVD # B1,WESLACO,TX,78596-4511",0.09610983981693363,,0.0,,0.0,,0.19221967963386727,,0.0,,26.17160458,-97.99088034,,,1.0,0.0,,
"1004 N TEXAS BLVD,WESLACO,TX,78596-4511",0.5921882711894827,,0.0,,0.0,,1.1843765423789654,,0.0,,26.17160458,-97.99088034,,,1.0,0.0,,
"1005 E HIGHWAY 34,ITALY,TX,76651",1.0,,0.0,,0.0,,2.0,,0.0,,32.18393472,-96.86436768,,,1.0,0.0,,
"1007 W MITCHELL ST STE 201,ARLINGTON,TX,76013-2504",0.0,,1.0,,0.0,,0.0,,2.0,,32.72599048,-97.12107963,,,1.0,0.0,,
"1008 RANCH ROAD 620 S,LAKEWAY,TX,78734-5631",0.0,,0.125,,0.0,,0.0,,0.25,,30.35338205,-97.96200812,,,1.0,0.0,,
"1009 E SEMINARY DR,FT WORTH,TX,76115-2735",0.4137426900584795,,0.0,,0.0,,0.827485380116959,,0.0,,32.68438251,-97.3169015,,,1.0,0.0,,
"1009 W BUSINESS 190 STE 108,COPPERAS COVE,TX,76522-3886",0.8333333333333333,,0.4,,0.0,,1.6666666666666663,,0.8,,31.10343539,-97.92301114,,,1.0,0.0,,
