IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1  EUREKA CIR  STE 103,WICHITA FALLS,TX,76308-2929",,0.1,,0.0,,0.0,,0.2,,0.0,,,33.86981247,-98.52626162,,,0.0,1.0
"1 CLINIC DR,BOYS RANCH,TX,79010",,1.0,,0.0,,0.0,,2.0,,0.0,,,35.531195200000006,-102.2562362,,,0.0,1.0
"1 CLINIC DRIVE,BOYS RANCH,TX,79010",,0.5,,0.0,,0.0,,1.0,,0.0,,,35.531195200000006,-102.2562362,,,0.0,1.0
"1 W I-30 W,GARLAND,TX,75043",,0.0,,0.0,,0.5,,0.0,,0.0,,,32.84547482,-96.58321233,,,0.0,1.0
"100 HIGHWAY 332 W STE 12,LAKE JACKSON,TX,77566-4029",,0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,,29.05398241,-95.50264741,,,0.0,1.0
"100 HIGHWAY 332 W STE 1242,LAKE JACKSON,TX,77566-4037",,1.0,,0.0,,0.0,,2.0,,0.0,,,29.05398241,-95.50264741,,,0.0,1.0
"100 KINGS FORT PKWY STE 100 # 10,KAUFMAN,TX,75142-3544",,0.0,,0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,,32.57145415,-96.31060583,,,0.0,1.0
"100 KINGS FORT PKWY STE STE # 100,KAUFMAN,TX,75142-3536",,0.2,,0.0,,0.0,,0.4,,0.0,,,32.57145415,-96.31060583,,,0.0,1.0
"100 MEDICAL CENTER BLVD,CONROE,TX,77304-2888",,0.7,,0.0,,0.0,,1.4,,0.0,,,30.28791773,-95.46293517,,,0.0,1.0
"100 N 11TH ST,GARLAND,TX,75040-6103",,1.0,,0.07040816326530612,,1.1530448717948718,,2.0,,0.14081632653061224,,,32.912883,-96.64339725,,,0.0,1.0
"100 SAN ELIZARIO RD,CLINT,TX,79836-6738",,0.2909090909090909,,0.0,,0.0,,0.5818181818181818,,0.0,,,31.58721942,-106.2309237,,,0.0,1.0
"100 W CENTEX EXPWY SUITE,HARKER HEIGHTS,TX,76548",,0.16666666666666666,,0.0,,0.0,,0.3333333333333333,,0.0,,,31.06063,-97.63703999,,,0.0,1.0
"100 W PIONEER PKWY STE 1,ARLINGTON,TX,76010-6131",,0.5,,0.0,,0.0,,1.0,,0.0,,,32.70801951,-97.10897319,,,0.0,1.0
"100 W PIONEER PKWY STE,ARLINGTON,TX,76010-6131",,0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,,32.70801951,-97.10897319,,,0.0,1.0
"100 W SOUTHLAKE BLVD STE 146,GRAPEVINE,TX,76092-6104",,0.2,,0.0,,0.0,,0.4,,0.0,,,32.94155545,-97.15131426,,,0.0,1.0
"100 W SOUTHLAKE BLVD STE 146,SOUTHLAKE,TX,76092-6104",,0.2,,0.0,,0.0,,0.4,,0.0,,,32.94155545,-97.15131426,,,0.0,1.0
"100 WOLFE NURSERY RD STE 190,STEPHENVILLE,TX,76401-3747",,3.7540800779858112,,0.0,,0.0,,7.5081601559716225,,0.0,,,32.20490577,-98.23868063,,,0.0,1.0
"100 WOLFE NURSERY RD STE STE # 180,STEPHENVILLE,TX,76401-3731",,0.20225279106858046,,0.0,,0.0,,0.4045055821371609,,0.0,,,32.20490577,-98.23868063,,,0.0,1.0
"100 WOLFE NURSERY RD STE,STEPHENVILLE,TX,76401-3731",,0.08452380952380953,,0.0,,0.0,,0.16904761904761906,,0.0,,,32.20490577,-98.23868063,,,0.0,1.0
"1000 E 41ST ST STE 230,AUSTIN,TX,78751-4857",,2.0961538461538463,,0.0,,0.2959529505582137,,4.1923076923076925,,0.0,,,30.29806564,-97.71886409,,,0.0,1.0
"1000 E CAMPBELL RD STE 1,RICHARDSON,TX,75081-6737",,1.5,,0.0,,0.0,,3.0,,0.0,,,32.97521153,-96.70709491,,,0.0,1.0
"1000 E ELDORADO PKWY STE 100,LITTLE ELM,TX,75068-6471",,0.0,,0.0,,0.4166666666666666,,0.0,,0.0,,,33.1688445,-96.92355905,,,0.0,1.0
"1000 E ELDORADO PKWY STE STE # 130,LITTLE ELM,TX,75068-6443",,0.5,,0.0,,0.0,,1.0,,0.0,,,33.1688445,-96.92355905,,,0.0,1.0
"1000 E ELDORADO PKWY STE,LITTLE ELM,TX,75068-6443",,0.25,,0.0,,0.0,,0.5,,0.0,,,33.1688445,-96.92355905,,,0.0,1.0
"1000 FM 300,LEVELLAND,TX,79336-6235",,2.023809523809524,,0.0,,0.0,,4.047619047619048,,0.0,,,33.57207383,-102.3798986,,,0.0,1.0
"1000 JUAREZ ST BLDG A,WICHITA FALLS,TX,76301-6905",,0.25,,0.0,,0.0,,0.5,,0.0,,,33.91211437,-98.47396965,,,0.0,1.0
"10009 N LAMAR BLVD UNIT C,AUSTIN,TX,78753-4117",,0.8333333333333333,,0.0,,0.0,,1.6666666666666663,,0.0,,,30.37002151,-97.69308563,,,0.0,1.0
"10009 N MACARTHUR BLVD,IRVING,TX,75063-5082",,0.6666666666666666,,0.0,,0.0,,1.3333333333333333,,0.0,,,32.94146652,-96.95223574,,,0.0,1.0
"1000L N MIDKIFF RD STE B,MIDLAND,TX,79701-2113",,0.06347826086956522,,0.0,,0.0,,0.12695652173913044,,0.0,,,31.9987363,-102.118134,,,0.0,1.0
"1001 BUCKINGHAM RD STE 200,RICHARDSON,TX,75081-5800",,0.0,,0.0,,1.0,,0.0,,0.0,,,32.93136648,-96.70861244,,,0.0,1.0
"1001 FAIRMONT PKWY STE J,PASADENA,TX,77504-2970",,0.5,,0.0,,0.0,,1.0,,0.0,,,29.65160545,-95.19692263,,,0.0,1.0
"1001 HIGHLAND PARK AVE,MISSION,TX,78572-4452",,0.9444444444444444,,0.0,,0.0,,1.8888888888888888,,0.0,,,26.21458135,-98.31365209,,,0.0,1.0
"1001 LONG PRAIRIE RD STE 100,FLOWER MOUND,TX,75022-4231",,0.2,,0.0,,0.0,,0.4,,0.0,,,32.99667684,-97.06515179,,,0.0,1.0
"1001 LONG PRAIRIE RD STE,FLOWER MOUND,TX,75022-4240",,0.2,,0.0,,0.0,,0.4,,0.0,,,32.99667684,-97.06515179,,,0.0,1.0
"1001 LONG PRAIRIE RD,FLOWER MOUND,TX,75022",,0.5,,0.0,,0.0,,1.0,,0.0,,,32.99667684,-97.06515179,,,0.0,1.0
"1001 N BECKLEY AVE,DESOTO,TX,75115",,1.0,,0.0,,0.0,,2.0,,0.0,,,32.60566088,-96.82343352,,,0.0,1.0
"1001 W MITCHELL ST,ARLINGTON,TX,76013-2509",,0.5,,0.0,,0.5,,1.0,,0.0,,,32.72599146,-97.12058374,,,0.0,1.0
"1002 W SAM HOUSTON BLVD,PHARR,TX,78577-5224",,1.5,,0.0,,0.0,,3.0,,0.0,,,26.1896853,-98.19794652,,,0.0,1.0
