,State_County_Tract_FIPS_Code
45085000901,95
45045002202,77
45029970500,76
45045002812,73
45015020506,61
45019003800,59
45091060804,57
45075011000,57
45007001100,56
45007012002,54
45045002107,53
45079002400,51
45035010818,51
45019000600,51
45015020812,46
45019003115,43
45035010813,41
45019002702,38
45063021029,38
45079001100,37
45019003114,35
45007011202,34
45019004612,34
45019003105,33
45063021018,33
45077010802,32
45045001302,28
45033970300,28
45083021500,27
45051050600,27
45041001200,25
45027960701,24
45083022406,23
45091060802,23
45005970400,23
45013000700,22
45083021200,22
45019003113,21
45019002613,21
45041001000,21
45053950202,21
45079000900,19
45079010407,18
45019002701,18
45043920501,18
45027960801,17
45045003802,16
45015020715,16
45083020601,16
45083020603,16
45075011400,16
45027960500,15
45057010900,15
45083020602,15
45063020506,14
45047970202,14
45019003200,14
45063021113,14
45049920200,14
45035010700,13
45019001902,13
45079011412,13
45091060700,13
45045002808,13
45077010804,12
45083023600,12
45045001400,12
45051050303,12
45063020510,12
45083021301,12
45015020707,12
45019003110,11
45013002201,11
45079011702,11
45071950202,11
45075010600,10
45091060200,10
45063020511,10
45019003300,10
45083022007,10
45081960201,9
45045001900,9
45049920400,9
45087030200,9
45083021303,9
45079003100,9
45073030702,9
45083022900,9
45015020723,9
45079010309,8
45055970800,8
45007000300,8
45079011411,8
45047970301,8
45019004608,8
45077010602,8
45043920302,7
45079010701,7
45047970302,7
45031010100,7
45079000500,7
45085001901,7
45051040104,7
45075011100,7
45091060905,7
45085001802,7
45009960200,7
45003021300,7
45063021014,7
45009960100,7
45091061003,7
45079011301,7
45045002905,6
45057011201,6
45075010200,6
45045002304,6
45019003000,6
45007000200,6
45079001600,6
45079011303,6
45083020301,6
45077011204,6
45007010401,6
45017950400,6
45085000700,6
45063021032,6
45079011608,6
45059920400,6
45053950300,6
45015020809,6
45077011002,6
45045001810,6
45013000503,5
45089970600,5
45015020710,5
45031011100,5
45083023102,5
45045003303,5
45055970903,5
45043920505,5
45045003904,5
45091061004,5
45045001700,5
45073030402,5
45045002604,5
45083021802,5
45019001901,5
45045002506,5
45025950101,5
45025950502,5
45073030601,5
45045002103,5
45039960300,4
45019003107,4
45075010500,4
45045002507,4
45021970402,4
45013010700,4
45077010403,4
45019002605,4
45091060803,4
45051051601,4
45045001808,4
45079011604,4
45035010200,4
45007010102,4
45043920600,4
45007011500,4
45051060308,4
45051020200,4
45041001400,4
45001950500,4
45047970400,4
45089970900,4
45083022101,4
45045003012,4
45051070200,4
45063021116,4
45029970402,4
45057010700,4
45051060209,4
45007011100,4
45079002500,4
45019004607,3
45045002813,3
45091060901,3
45051051201,3
45083022600,3
45013002106,3
45023020602,3
45021970201,3
45077010402,3
45067950100,3
45007001000,3
45035010820,3
45091061801,3
45079011304,3
45015020201,3
45063020804,3
45069960301,3
45013000903,3
45025950400,3
45035010808,3
45063021110,3
45077011203,3
45019003104,3
45033970600,3
45067950500,3
45063021030,3
45045002815,3
45015020713,3
45063021028,3
45077010903,3
45035010505,3
45057010300,3
45035010503,3
45063020202,3
45089970501,3
45059920302,3
45073030602,3
45045002803,3
45051050500,3
45011970300,3
45045002505,3
45079011603,3
45007010104,3
45013000100,3
45045002609,3
45013010800,3
45013002107,3
45063021402,3
45031010500,3
45041000700,3
45035010819,3
45075010300,3
45019001000,2
45079002100,2
45079011418,2
45083020701,2
45041001900,2
45007011902,2
45003020100,2
45003020801,2
45051051403,2
45041000900,2
45051051405,2
45013000800,2
45041001100,2
45091061005,2
45015020724,2
45015020714,2
45037970202,2
45013001102,2
45003021201,2
45019002900,2
45059920800,2
45019002004,2
45045003706,2
45083023403,2
45051051501,2
45051080102,2
45079010403,2
45055970904,2
45063020601,2
45043920400,2
45079010806,2
45051060405,2
45045003707,2
45045003701,2
45079001300,2
45019003108,2
45003021700,2
45003021602,2
45003020302,2
45091060102,2
45055970500,2
45003020702,2
45051050402,2
45015020721,2
45091060904,2
45057010200,2
45035010604,2
45003021400,2
45083022003,2
45045003005,2
45019000500,2
45021970601,2
45071950601,2
45019002802,2
45017950200,2
45079011202,2
45075011300,2
45019004702,2
45083023202,2
45013002102,2
45041002201,2
45051051605,2
45063020201,2
45073031100,1
45047970702,1
45091061602,1
45019000700,1
45079010102,1
45063021022,1
45045002106,1
45007010700,1
45051040300,1
45019002003,1
45083022403,1
45019005000,1
45091061802,1
45051050900,1
45019002801,1
45071950300,1
45083022401,1
45019004000,1
45057010800,1
45053950201,1
45003021500,1
45019002101,1
45019004606,1
45063020802,1
45083020900,1
45019004614,1
45045001804,1
45007010103,1
45065920200,1
45027960100,1
45039960400,1
45007010600,1
45079010804,1
45063020300,1
45081960202,1
45077010801,1
45045002608,1
45045001600,1
45089970300,1
45083021100,1
45045001502,1
45045004101,1
45091060401,1
45005970200,1
45085000902,1
45079011417,1
45031011400,1
45051060206,1
45055970403,1
45079010411,1
45079000200,1
45045000200,1
45015020718,1
45091060907,1
45013002202,1
45063020505,1
45007011001,1
45021970301,1
45031010900,1
45073030401,1
45051070300,1
45003022001,1
45003021601,1
45023020700,1
45043920201,1
45079000400,1
45019002502,1
45043920503,1
45085001300,1
45045001803,1
45045001805,1
45041002600,1
45007012001,1
45007000600,1
45079010307,1
45045003011,1
45045003013,1
45063021305,1
45063021204,1
45063021206,1
45051040400,1
45079010803,1
45091060300,1
45079011901,1
45063021027,1
45063021019,1
45059920301,1
45091060501,1
45079010103,1
45059920700,1
45041001300,1
45025950102,1
45041000201,1
45003021203,1
45067950200,1
45089970502,1
45051980100,1
45079011607,1
45015020504,1
45063020904,1
45011970100,1
